"Response","Question.Tag","Seven.Vital.Conditions","Sub.Condition","Tags","Location","Date","Facilitator","Note.Taker","AssignedCondition"
"walk and bike ability not supported in our community","Barriers to community well-being?","Healthy Environment (HE)","RT-Active transport","","Community Conversation Brigade",2019-05-08,"","","Reliable Transportation (RT)"
"access to airports","Best part of living here?","Reliable Transportation (RT)","RT-Close to work, school, food, leisure","","Thrivent",2019-02-27,"Beckie Overholt","Jason Schulist","Reliable Transportation (RT)"
"easy access to activities and services can walk many places doesn t take long to get to places like work to run errands","Best part of living here?","Reliable Transportation (RT)","RT-Close to work, school, food, leisure","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Reliable Transportation (RT)"
"geographic location easy to get to other places","Best part of living here?","Reliable Transportation (RT)","RT-Close to work, school, food, leisure","","Menasha HS",NA,"Chloe Hietpas & Sophie","Peter Kelly","Reliable Transportation (RT)"
"spread out geography","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","RT-Close to work, school, food, leisure","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Reliable Transportation (RT)"
"pretty easy to get most places","""Well Being"" brings to mind?","Not Marked","RT-Close to work, school, food, leisure","","FC Chamber",2019-06-18,"Jeff Hunter","Karen Flom","Reliable Transportation (RT)"
"proximity of other cities","Best part of living here?","Not Marked","RT-Close to work, school, food, leisure","","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Reliable Transportation (RT)"
"local grocery stores and fast food in small town","Best part of living here?","Healthy Environment (HE)","RT-Close to work, school, food, leisure","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Reliable Transportation (RT)"
"urban sprawl","Barriers to community well-being?","Not Marked","RT-Close to work, school, food, leisure","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Reliable Transportation (RT)"
"access to larger cities easy to get to milwaukee or chicago","Best part of living here?","Humane Housing (HH)","RT-Close to work, school, food, leisure","","First English Lutheran Church",2019-04-03,"Penny Robinson","Mike Sandercock","Reliable Transportation (RT)"
"airport","Best part of living here?","Reliable Transportation (RT)","RT-Close to work, school, food, leisure","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Reliable Transportation (RT)"
"can drive to chicago or twin cities in a day","Best part of living here?","Reliable Transportation (RT)","RT-Close to work, school, food, leisure","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Reliable Transportation (RT)"
"despite downtown sprawl is a big issue going to the store can be far contributes to needing a car pollution and having income to buy one","Barriers to community well-being?","Reliable Transportation (RT)","RT-Close to work, school, food, leisure","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Reliable Transportation (RT)"
"incentives from municipalities for centralized grocery store","Ideas for Innovation","Health & Safety (H&S)","RT-Close to work, school, food, leisure","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Reliable Transportation (RT)"
"resources that are in the downtown area instead of on the outskirts of town","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","RT-Close to work, school, food, leisure","","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Reliable Transportation (RT)"
"location close to a lot of variety big cities and packers","Best part of living here?","Healthy Environment (HE)","RT-Close to work, school, food, leisure","","Community Conversation Brigade",2019-05-08,"","","Reliable Transportation (RT)"
"fox cities needs a regularly scheduled train connecting us with green bay milwaukee chicago minneapolis and madison","Summary","Reliable Transportation (RT)","RT-Efficient Energy Use","masstransit","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Reliable Transportation (RT)"
"high speed rail","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Reliable Transportation (RT)"
"infrastructure improving sidewalks bike trails and high speed public internet","Ideas for Innovation","Healthy Environment (HE)","RT-Efficient Energy Use","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Reliable Transportation (RT)"
"people without personal transport","Vulnerable groups in community?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Reliable Transportation (RT)"
"public transport a tram or train with many stops between fon du lac and green bay","Summary","Reliable Transportation (RT)","RT-Efficient Energy Use","masstransit","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Reliable Transportation (RT)"
"public transportation lacking in rural areas","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Reliable Transportation (RT)"
"public transportation options city bus frequency","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Reliable Transportation (RT)"
"train and transport bus","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Reliable Transportation (RT)"
"better transportation","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Reliable Transportation (RT)"
"heavily rely on auto for transportation","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Reliable Transportation (RT)"
"improve ease of using bus system public transportation","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Reliable Transportation (RT)"
"barely adequate transit system need to get people out of poverty","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Reliable Transportation (RT)"
"priority on mass transit","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Reliable Transportation (RT)"
"quality of transportation re impact on poverty people with disabilities and for all","Summary","Reliable Transportation (RT)","RT-Efficient Energy Use","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Reliable Transportation (RT)"
"bus transportation no sundays ending early in evenings","Barriers to community well-being?","Not Marked","RT-Efficient Energy Use","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Reliable Transportation (RT)"
"access to transportation bus public transport","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Prince of Peace Church",2019-05-30,"Jeff Hunter","Jason Schulist","Reliable Transportation (RT)"
"affordable transportation","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Prince of Peace Church",2019-05-30,"Jeff Hunter","Jason Schulist","Reliable Transportation (RT)"
"public transportation key across all teams","Summary","Reliable Transportation (RT)","RT-Efficient Energy Use","","Prince of Peace Church",2019-05-30,"Jeff Hunter","Jason Schulist","Reliable Transportation (RT)"
"public transportation like a light rail from madison chicago to green bay","","Reliable Transportation (RT)","RT-Efficient Energy Use","bold idea","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Reliable Transportation (RT)"
"public transportation has a negative","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","masstransit","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Reliable Transportation (RT)"
"car centered community","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Reliable Transportation (RT)"
"geographic holes for transportation and services","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Reliable Transportation (RT)"
"lack of transportation for those in need","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Reliable Transportation (RT)"
"more buses and stops for transportation","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Reliable Transportation (RT)"
"reliable transportation and awareness to options","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Reliable Transportation (RT)"
"resources and opportunities but vary by location and with transportation","Best part of living here?","Health & Safety (H&S)","RT-Efficient Energy Use","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Reliable Transportation (RT)"
"total overhaul of public transportation","Ideas for Innovation","Not Marked","RT-Efficient Energy Use","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Reliable Transportation (RT)"
"transportation","""Well Being"" brings to mind?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Reliable Transportation (RT)"
"transportation could be improved makes it a struggle to access resources","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Reliable Transportation (RT)"
"unstable lack of access to transportation","Vulnerable groups in community?","Not Marked","RT-Efficient Energy Use","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Reliable Transportation (RT)"
"better technology to access public transportation","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","B&GC",2019-05-06,"Julie Filapek","Manny Vasquez","Reliable Transportation (RT)"
"develop infrastructure especially public transportation","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","B&GC",2019-05-15,"Julie Filapek","Manny Vasquez","Reliable Transportation (RT)"
"improvements to public transportation","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","B&GC",2019-05-03,"Julie Filapek","Manny Vasquez","Reliable Transportation (RT)"
"increase the number of buses and bus stops","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","B&GC",2019-05-05,"Julie Filapek","Manny Vasquez","Reliable Transportation (RT)"
"public transportation","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","B&GC",2019-05-03,"Julie Filapek","Manny Vasquez","Reliable Transportation (RT)"
"public transportation","Best part of living here?","Not Marked","RT-Efficient Energy Use","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Reliable Transportation (RT)"
"transporation barriers for some 2nd shift workers rural residents","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Reliable Transportation (RT)"
"public transportation is good","Best part of living here?","Reliable Transportation (RT)","RT-Efficient Energy Use","","APL - Congolese",2019-06-08,"Karen Nelson","Tami McLaughlin","Reliable Transportation (RT)"
"better public transportation light rail connect us interurban","Ideas for Innovation","Not Marked","RT-Efficient Energy Use","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Reliable Transportation (RT)"
"limited public transportation","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Reliable Transportation (RT)"
"public transportation is available but not great not at a tipping point to make improvements","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Community Foundation",2019-02-28,"Lynn Coriano","Todd Sutton","Reliable Transportation (RT)"
"without reliable transportation access to amenities is limited","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Community Foundation",2019-02-28,"Lynn Coriano","Todd Sutton","Reliable Transportation (RT)"
"anyone without a car taking the bus isn t fun and it doesn t run on sunday","Vulnerable groups in community?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Fox Valley Technical College - Students",2019-05-08,"Melissa Christman","Carol Wedig","Reliable Transportation (RT)"
"advertise park and ride","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Outagamie County Health",2019-06-02,"Mike Sandercock","Penny Robinson","Reliable Transportation (RT)"
"lack of good transportation","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Outagamie County Health",2019-04-24,"Mike Sandercock","Penny Robinson","Reliable Transportation (RT)"
"mindset change to use transit","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Outagamie County Health",2019-05-24,"Mike Sandercock","Penny Robinson","Reliable Transportation (RT)"
"poor public transit","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Outagamie County Health",2019-04-26,"Mike Sandercock","Penny Robinson","Reliable Transportation (RT)"
"remove stigma from public transportation system valley transit not supported by communities","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Labor Temple",2019-06-09,"Mike Sandercock","Mike Sandercock","Reliable Transportation (RT)"
"transportation 7 days a week for longer hours","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Outagamie County Health",2019-05-23,"Mike Sandercock","Penny Robinson","Reliable Transportation (RT)"
"transportation to activities","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Outagamie County Health",2019-05-21,"Mike Sandercock","Penny Robinson","Reliable Transportation (RT)"
"car dependent culture","Barriers to community well-being?","Not Marked","RT-Efficient Energy Use","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Reliable Transportation (RT)"
"public transportation","Barriers to community well-being?","Not Marked","RT-Efficient Energy Use","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Reliable Transportation (RT)"
"infrastructure in community to allow access to transportation work job on time reliable","","Not Marked","RT-Efficient Energy Use","","CHW  Cmm First",2019-06-11,"Paula","Kara","Reliable Transportation (RT)"
"public transportation needs inmprovement","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","LC  Village Hall",2019-06-13,"Paula","KV","Reliable Transportation (RT)"
"lack of transportation urban buses don t have it here to green bay milwaukee","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Reliable Transportation (RT)"
"social determinants matter transportation","""Well Being"" brings to mind?","Reliable Transportation (RT)","RT-Efficient Energy Use","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Reliable Transportation (RT)"
"better public transportation","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Reliable Transportation (RT)"
"bus station","Best part of living here?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Reliable Transportation (RT)"
"city got pulled apart with 441 farm fields now are being developed and spreading things out","Barriers to community well-being?","Healthy Environment (HE)","RT-Efficient Energy Use","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Reliable Transportation (RT)"
"having a walking combination if being dropped off by bus the walking ability from that spot should be easy","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Reliable Transportation (RT)"
"if you lack transportation it is a difficult community to live in particularly for grocery stores and access to healthy options","Vulnerable groups in community?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Reliable Transportation (RT)"
"lack of really well rounded public transportation hours of operation utilization","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Neenah Public Library",2019-05-15,"Penny Robinson","Karen Flom","Reliable Transportation (RT)"
"lack of transportation keeps lower income people away from resources","Are we trending up or down?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Reliable Transportation (RT)"
"local work do not have to drive","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","First English Lutheran Church",2019-04-03,"Penny Robinson","Mike Sandercock","Reliable Transportation (RT)"
"parking","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","First English Lutheran Church",2019-04-03,"Penny Robinson","Mike Sandercock","Reliable Transportation (RT)"
"public transit needed more because of sprawl easy if you re near center of system but not if outside of the center","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Reliable Transportation (RT)"
"public transport and access to the community transportation all times of year","""Well Being"" brings to mind?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Reliable Transportation (RT)"
"public transportation free transit for fvtc students available for oshkosh","Best part of living here?","Reliable Transportation (RT)","RT-Efficient Energy Use","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Reliable Transportation (RT)"
"public transportation where it goes hours and days","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Reliable Transportation (RT)"
"public transportation for low income","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","First English Lutheran Church",2019-04-03,"Penny Robinson","Mike Sandercock","Reliable Transportation (RT)"
"train networks to get to chicago and milwaukee","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Reliable Transportation (RT)"
"transportation","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","First English Lutheran Church",2019-04-03,"Penny Robinson","Mike Sandercock","Reliable Transportation (RT)"
"transportation could be improved valley transit","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","valley transit","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Reliable Transportation (RT)"
"bus service extended","Ideas for Innovation","Not Marked","RT-Efficient Energy Use","","Boys and Girls Club Fox Valley/STAR program",2019-06-12,"Rayon Brown","Lynn Coriano","Reliable Transportation (RT)"
"people with limited transportation busses stop running too early","Are we trending up or down?","Not Marked","RT-Efficient Energy Use","","Boys and Girls Club Fox Valley/STAR program",2019-06-12,"Rayon Brown","Lynn Coriano","Reliable Transportation (RT)"
"transportation","Best part of living here?","Not Marked","RT-Efficient Energy Use","","Boys and Girls Club Fox Valley/STAR program",2019-06-12,"Rayon Brown","Lynn Coriano","Reliable Transportation (RT)"
"public transportation","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Thrivent",2019-02-11,"Schulist","Filapek","Reliable Transportation (RT)"
"100 renewable electricity","Ideas for Innovation","Healthy Environment (HE)","RT-Efficient Energy Use","","Fox Cities Greenways",2019-05-29,"","","Reliable Transportation (RT)"
"access to public locations public transportation not linked to the right things","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Unknown",NA,"","","Reliable Transportation (RT)"
"access to transportation","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Leaven",2019-05-22,"","","Reliable Transportation (RT)"
"appleton is the main hub surrounding communities have to travel to appleton with limited access to transportation","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","RT-Efficient Energy Use","","Leaven",2019-05-22,"","","Reliable Transportation (RT)"
"downtown peopl mover circulator","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Pop Earth",2019-06-20,"","","Reliable Transportation (RT)"
"innovative public transportation","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Community Conversation Brigade",2019-05-08,"","","Reliable Transportation (RT)"
"lack of mobility","Barriers to community well-being?","Health & Safety (H&S)","RT-Efficient Energy Use","","Boys & GirlsClub",2019-06-14,"","","Reliable Transportation (RT)"
"limited transit available","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Historic Neighborhood Recorder",2019-06-15,"","","Reliable Transportation (RT)"
"need more innovative public transportation","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Community Conversation Brigade",2019-05-08,"","","Reliable Transportation (RT)"
"not having vehicles","Barriers to community well-being?","Work & Financial Health (W&FH)","RT-Efficient Energy Use","","Community Conversation Brigade",2019-05-08,"","","Reliable Transportation (RT)"
"provide transportation and food to make participation in extracurriculars possible for low income students","Ideas for Innovation","Lifelong Learning (LL)","RT-Efficient Energy Use","","CCRR",2019-06-06,"","","Reliable Transportation (RT)"
"public transportation","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Pop Earth",2019-06-20,"","","Reliable Transportation (RT)"
"public transportation bus","Best part of living here?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Brookdale Assisted Living Ceter",2019-06-15,"","","Reliable Transportation (RT)"
"traffic","Barriers to community well-being?","Healthy Environment (HE)","RT-Efficient Energy Use","","Leaven",2019-05-22,"","","Reliable Transportation (RT)"
"transportation","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Leaven",2019-05-22,"","","Reliable Transportation (RT)"
"transportation challenges bus system not available or times","Barriers to community well-being?","Reliable Transportation (RT)","RT-Efficient Energy Use","","Community Conversation Brigade",2019-05-08,"","","Reliable Transportation (RT)"
"transportation provided for out of school activities to make them accessible","Ideas for Innovation","Reliable Transportation (RT)","RT-Efficient Energy Use","","Historic Neighborhood Recorder",2019-06-15,"","","Reliable Transportation (RT)"
"wheelchair access in the winter","Vulnerable groups in community?","Reliable Transportation (RT)","RT-Safe Transport","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Reliable Transportation (RT)"
"i41 corridor needs improvement","Ideas for Innovation","Reliable Transportation (RT)","RT-Safe Transport","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Reliable Transportation (RT)"
"main roads in pretty good condition compared to other places in wi","Best part of living here?","Reliable Transportation (RT)","RT-Safe Transport","story about road conditions for people who experience physical pain on bumpy roads was reason he moved here from sheboygan","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Reliable Transportation (RT)"
"up traffic not as bad as madison","Are we trending up or down?","Not Marked","RT-Safe Transport","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Reliable Transportation (RT)"
"on going construction s a barrier to community","Barriers to community well-being?","Not Marked","RT-Safe Transport","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Reliable Transportation (RT)"
"fewer cars on road","Ideas for Innovation","Healthy Environment (HE)","RT-Safe Transport","","Outagamie County Health",2019-05-25,"Mike Sandercock","Penny Robinson","Reliable Transportation (RT)"
"ease of travel","Best part of living here?","Not Marked","RT-Safe Transport","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Reliable Transportation (RT)"
"road construction","Barriers to community well-being?","Reliable Transportation (RT)","RT-Safe Transport","","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Reliable Transportation (RT)"
"no traffic","Best part of living here?","Reliable Transportation (RT)","RT-Safe Transport","","Thrivent",2019-02-11,"Schulist","Filapek","Reliable Transportation (RT)"
"aging infrastructure pot holes building bridges lack of parking","Barriers to community well-being?","Healthy Environment (HE)","RT-Safe Transport","","Community Conversation Brigade",2019-05-08,"","","Reliable Transportation (RT)"
"auto cell phone disarming","Ideas for Innovation","Health & Safety (H&S)","RT-Safe Transport","","Boys & GirlsClub",2019-06-14,"","","Reliable Transportation (RT)"
"condition of roadways","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","RT-Safe Transport","","Fox Cities Greenways",2019-05-29,"","","Reliable Transportation (RT)"
"highway system is good","Best part of living here?","Reliable Transportation (RT)","RT-Safe Transport","","Historic Neighborhood Recorder",2019-06-15,"","","Reliable Transportation (RT)"
"put down phones and buckle up when driving","Ideas for Innovation","Health & Safety (H&S)","RT-Safe Transport","","Boys & GirlsClub",2019-06-14,"","","Reliable Transportation (RT)"
"roads and infrastructure","Barriers to community well-being?","Reliable Transportation (RT)","RT-Safe Transport","","Brookdale Assisted Living Ceter",2019-06-15,"","","Reliable Transportation (RT)"
"streets well maintained","Best part of living here?","Reliable Transportation (RT)","RT-Safe Transport","","Historic Neighborhood Recorder",2019-06-15,"","","Reliable Transportation (RT)"
"traffic accidents","Barriers to community well-being?","Health & Safety (H&S)","RT-Safe Transport","","Boys & GirlsClub",2019-06-14,"","","Reliable Transportation (RT)"
"transportations","Best part of living here?","Reliable Transportation (RT)","RT-Safe Transport","","Unknown",NA,"","","Reliable Transportation (RT)"
"financial stability","""Well Being"" brings to mind?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Work & Financial Health (W&FH)"
"increasing poverty depends on who you are","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Work & Financial Health (W&FH)"
"lower income","Vulnerable groups in community?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Work & Financial Health (W&FH)"
"student loans too high","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Work & Financial Health (W&FH)"
"low income families","Vulnerable groups in community?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Menasha HS",NA,"Chloe Hietpas & Sophie","Peter Kelly","Work & Financial Health (W&FH)"
"low income families increase","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Work & Financial Health (W&FH)"
"number of people in low income in increasing 40 in last 10 years","Ideas for Innovation","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Work & Financial Health (W&FH)"
"haves are trending up have nots are trending down","Are we trending up or down?","Healthy Environment (HE)","W&FH - Savings and limited debt","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Work & Financial Health (W&FH)"
"financial security","""Well Being"" brings to mind?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Work & Financial Health (W&FH)"
"financial security","""Well Being"" brings to mind?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Work & Financial Health (W&FH)"
"high college debt working 2 3 jobs","Barriers to community well-being?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Work & Financial Health (W&FH)"
"it is bad when you are poor but that can give you skills to survive in the real world not having to develop those skills as a student may not prepare you for life","Are we trending up or down?","Lifelong Learning (LL)","W&FH - Savings and limited debt","","St. Mary Central",2019-04-24,"Jack Loken & Mya Gruett","Josh Kilgas","Work & Financial Health (W&FH)"
"lower income families","Vulnerable groups in community?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","St. Mary Central",2019-04-24,"Jack Loken & Mya Gruett","Josh Kilgas","Work & Financial Health (W&FH)"
"financial instability can hinder well being","Barriers to community well-being?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Thrivent",2019-01-07,"Jason Schulist","Stacy Wegley","Work & Financial Health (W&FH)"
"bring back first grade bank book","Ideas for Innovation","Not Marked","W&FH - Savings and limited debt","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Work & Financial Health (W&FH)"
"don t have high earning potential","Vulnerable groups in community?","Not Marked","W&FH - Savings and limited debt","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Work & Financial Health (W&FH)"
